date,event_type,label
14/2/2023,CPI,US CPI
14/3/2023,CPI,US CPI
22/3/2023,FOMC,FOMC meeting/decision
12/4/2023,CPI,US CPI
3/5/2023,FOMC,FOMC meeting/decision
10/5/2023,CPI,US CPI
13/6/2023,CPI,US CPI
14/6/2023,FOMC,FOMC meeting/decision
12/7/2023,CPI,US CPI
26/7/2023,FOMC,FOMC meeting/decision
10/8/2023,CPI,US CPI
13/9/2023,CPI,US CPI
20/9/2023,FOMC,FOMC meeting/decision
12/10/2023,CPI,US CPI
1/11/2023,FOMC,FOMC meeting/decision
14/11/2023,CPI,US CPI
12/12/2023,CPI,US CPI
13/12/2023,FOMC,FOMC meeting/decision
11/1/2024,CPI,US CPI
31/1/2024,FOMC,FOMC meeting/decision
9/2/2024,CPI,US CPI
13/2/2024,CPI,US CPI
12/3/2024,CPI,US CPI
20/3/2024,FOMC,FOMC meeting/decision
10/4/2024,CPI,US CPI
1/5/2024,FOMC,FOMC meeting/decision
15/5/2024,CPI,US CPI
12/6/2024,FOMC,FOMC meeting/decision
12/6/2024,CPI,US CPI
11/7/2024,CPI,US CPI
31/7/2024,FOMC,FOMC meeting/decision
14/8/2024,CPI,US CPI
11/9/2024,CPI,US CPI
18/9/2024,FOMC,FOMC meeting/decision
10/10/2024,CPI,US CPI
7/11/2024,FOMC,FOMC meeting/decision
13/11/2024,CPI,US CPI
11/12/2024,CPI,US CPI
15/1/2025,CPI,US CPI
29/1/2025,FOMC,FOMC meeting/decision
12/2/2025,CPI,US CPI
12/3/2025,CPI,US CPI
19/3/2025,FOMC,FOMC meeting/decision
10/4/2025,CPI,US CPI
7/5/2025,FOMC,FOMC meeting/decision
13/5/2025,CPI,US CPI
11/6/2025,CPI,US CPI
15/7/2025,CPI,US CPI
12/8/2025,CPI,US CPI
11/9/2025,CPI,US CPI
24/10/2025,CPI,US CPI
